Официальные обращения:;Встречаемость:
Дамы;5
Господа;7
Господин;14
Госпожа;1
Гражданин;0
Гражданка;0
Товарищ;30
Мадам;57
Мосье;0
Сударь;20
Сударыня;17


Обращения принятые в обиходе:;Встречаемость:
Батюшка;55
Матушка;49
Братец;1
Братцы;0
Тётушка;0
Дядюшка;0
Голубчик;13
Голубушка;1
Девушка;16
Юноша;1
Хозяин;14
Хозяйка;1
Любезный;0


Титульные обращения:;Встречаемость:
Ваше Величество;0
Ваше Высочество;0
Ваше Благородие;0
Ваша Светлость;0
Ваше Сиятельство;0
Ваше высокопревосходительство;0
Ваше превосходительство;0
Ваше высокородие;0
Ваше высокоблагородие;0
Ваше Святейшество;0
Ваше Высокопреосвященство;0
Ваше Преосвященство;0
Ваше Высокопреподобие;0
Ваше Преподобие;0
Ваша Честь;0
Великий князь;0
Милостивый государь;0
Цесаревич;0
Цесаревна;0
Князь;41
Княгиня;38
Княжна;65
Граф;57
Графиня;11
